opp_id,account_id,owner_id,name,stage,amount,close_date,created_date,lead_source,forecast_category,is_won,is_closed,competitor,loss_reason,days_in_stage,next_step,opportunity_type,created_at
1,147,16,Elevate Digital - Initial License,Proposal,112542,2023-10-21,2023-09-21,Outbound - AE,Best Case,False,False,CompetitorB,,17,Send proposal,New Business,2023-09-21T00:00:00
2,160,11,Nova Software - New Business,Discovery,189154,2025-01-31,2024-06-30,Webinar,Pipeline,False,False,CompetitorD,,63,Executive alignment,New Business,2024-06-30T00:00:00
3,255,3,Nova Holdings - Initial License,Qualification,195076,2023-12-10,2023-05-14,Inbound - Web,Best Case,False,False,CompetitorA,,12,Schedule demo,New Business,2023-05-14T00:00:00
1,689,5,Fusion Corp - New Business,Closed Won,19911,2021-10-17,2021-06-23,Inbound - Web,Closed,True,True,,,26,,New Business,2021-06-23T00:00:00
5,699,7,Nexus Technologies - Initial License,Prospecting,,2023-05-20,2022-10-24,Outbound - AE,Pipeline,False,False,CompetitorE,,56,Contract signing,New Business,2022-10-24T00:00:00
6,755,11,Global Group - New Business,Discovery,45735,2024-08-06,2024-06-05,Outbound - SDR,Pipeline,False,False,,,66,Send proposal,New Business,2024-06-05T00:00:00
7,6,9,Apex Group - Initial License,Closed Lost,923869,2024-12-31,2024-09-14,Outbound - SDR,Omitted,False,True,,Lost to Status Quo,14,,New Business,2024-09-14T00:00:00
8,69,14,Apex Group - Initial License,Proposal,48760,2025-02-17,2024-10-10,Partner Referral,Best Case,False,False,CompetitorB,,52,,New Business,2024-10-10T00:00:00
9,417,7,Quantum Corp - Initial License,Discovery,40959,2025-05-05,2024-08-08,Outbound - SDR,Pipeline,False,False,Open Source Alternative,,50,Send proposal,New Business,2024-08-08T00:00:00
10,875,7,Pinnacle Partners - Platform Deal,Proposal,97774,2021-11-29,2021-04-15,Partner Referral,Best Case,False,False,CompetitorC,,1,Legal review,New Business,2021-04-15T00:00:00
